final_rank,site,final_score,final_priority,screening_score,screening_priority,geochemical_score,geochemical_support,grade_mean_percent,documented_tonnage,tonnage_unit,geologic_unit_code,geologic_unit_name,geologic_age,geologic_context,data_completeness
1,Scrafford; Treasure Creek,25,High final priority,14,High priority,11,Strong geochemical support,55.0,2700.0,tons,DPxsq,Pelitic schist and quartzite and mafic interbeds (Yukon-Tanana crystalline complex),Devonian and older,Metamorphic or metasedimentary context,Complete screening data
2,Pringle Bench; Jones & Boyle,25,High final priority,14,High priority,11,Strong geochemical support,12.78,6308.0,tons,DPxcn,Metasedimentary and metavolcanic rocks of the Central Belt and Northern Thrust assemblage of Till and others (2008a),Devonian to Proterozoic,Metamorphic or metasedimentary context,Complete screening data
3,Slate Creek; Taylor mine,24,High final priority,14,High priority,10,Strong geochemical support,54.5,354.0,tons,DCsp,Schist and phyllite of the Alaska Range,Devonian or older,Metamorphic or metasedimentary context,Complete screening data
4,Eureka Stibnite (Pick claim group),23,High final priority,13,Medium priority,10,Strong geochemical support,62.0,12.0,tons,DCsp,Schist and phyllite of the Alaska Range,Devonian or older,Metamorphic or metasedimentary context,Complete screening data
5,McCarty; American Eagle,23,High final priority,12,Medium priority,11,Strong geochemical support,52.83,15.0,tons,DPxsq,Pelitic schist and quartzite and mafic interbeds (Yukon-Tanana crystalline complex),Devonian and older,Metamorphic or metasedimentary context,Complete screening data
6,Stampede,21,High final priority,12,Medium priority,9,Strong geochemical support,12.5,7000.0,short tons,Pzkn,"Klondike Schist, Keevy Peak Formation, and similar rocks (Yukon-Tanana crystalline complex)",Permian to early Paleozoic,Metamorphic or metasedimentary context,Complete screening data
7,Hindenburg; Markovich,21,High final priority,11,Medium priority,10,Strong geochemical support,38.5,16.5,tons,Pze,Eclogite and associated rocks (Yukon-Tanana crystalline complex),Paleozoic,Other or mixed context,Complete screening data
8,Christophosen; Last Chance,18,Medium final priority,12,Medium priority,6,Moderate geochemical support,58.0,2.5,tons,PzZncl,Layered sequence (Nome Complex),Devonian to Neoproterozoic,Other or mixed context,Complete screening data
9,Hot Air; Hot Air No. 1,17,Medium final priority,12,Medium priority,5,Limited geochemical support,41.0325,956.0,kg,CPxwg,"Wales Group, undivided",Cambrian to Proterozoic,Other or mixed context,Complete screening data
10,Quiggley; Gray Eagle,16,Medium final priority,12,Medium priority,4,Limited geochemical support,63.7,5.0,tons,PzZncl,Layered sequence (Nome Complex),Devonian to Neoproterozoic,Other or mixed context,Complete screening data
11,Breen West (Bison),16,Medium final priority,10,Medium priority,6,Moderate geochemical support,10.0,14.0,tons,PzZncl,Layered sequence (Nome Complex),Devonian to Neoproterozoic,Other or mixed context,Complete screening data
12,Sliscovich,14,Medium final priority,8,Low priority,6,Moderate geochemical support,35.0,,,PzZncl,Layered sequence (Nome Complex),Devonian to Neoproterozoic,Other or mixed context,Grade and geology available
13,Upper Ridge,10,Low final priority,1,Low priority,9,Strong geochemical support,,,,DCsp,Schist and phyllite of the Alaska Range,Devonian or older,Metamorphic or metasedimentary context,Geology available only
